row_group,row_id,deliverable,row_source,role_id,role,role_function,code,confirmation,work_boundary,assignment_source
prepare,M-R-1,Vendor mapping deliverable,migration.md / proposed matrix,Noel,Noel: sponsor,governance,I,proposed,,migration.md / proposed matrix
prepare,M-R-1,Vendor mapping deliverable,migration.md / proposed matrix,Jules,Jules: PM,coordination,C,proposed,,migration.md / proposed matrix
prepare,M-R-1,Vendor mapping deliverable,migration.md / proposed matrix,Chen,Chen: migration,migration,C,proposed,,migration.md / proposed matrix
prepare,M-R-1,Vendor mapping deliverable,migration.md / proposed matrix,Beck,Beck: vendor,vendor,A/R,proposed,,migration.md / proposed matrix
prepare,M-R-1,Vendor mapping deliverable,migration.md / proposed matrix,Saira,Saira: business,business,C,proposed,,migration.md / proposed matrix
prepare,M-R-1,Vendor mapping deliverable,migration.md / proposed matrix,Rosa,Rosa: operations,operations,I,proposed,,migration.md / proposed matrix
prepare,M-R-2,Internal mapping verification,migration.md / proposed matrix,Noel,Noel: sponsor,governance,I,proposed,,migration.md / proposed matrix
prepare,M-R-2,Internal mapping verification,migration.md / proposed matrix,Jules,Jules: PM,coordination,C,proposed,,migration.md / proposed matrix
prepare,M-R-2,Internal mapping verification,migration.md / proposed matrix,Chen,Chen: migration,migration,A/R,proposed,,migration.md / proposed matrix
prepare,M-R-2,Internal mapping verification,migration.md / proposed matrix,Beck,Beck: vendor,vendor,C,proposed,,migration.md / proposed matrix
prepare,M-R-2,Internal mapping verification,migration.md / proposed matrix,Saira,Saira: business,business,C,proposed,,migration.md / proposed matrix
prepare,M-R-2,Internal mapping verification,migration.md / proposed matrix,Rosa,Rosa: operations,operations,I,proposed,,migration.md / proposed matrix
prepare,M-R-3,Representative migration rehearsal,migration.md / proposed matrix,Noel,Noel: sponsor,governance,I,proposed,,migration.md / proposed matrix
prepare,M-R-3,Representative migration rehearsal,migration.md / proposed matrix,Jules,Jules: PM,coordination,C,proposed,,migration.md / proposed matrix
prepare,M-R-3,Representative migration rehearsal,migration.md / proposed matrix,Chen,Chen: migration,migration,A/R,proposed,,migration.md / proposed matrix
