row_group,row_id,deliverable,row_source,role_id,role,role_function,code,confirmation,work_boundary,assignment_source
baseline,R-1,Integrated baseline proposal,software.md / proposed matrix,Ada,Ada: sponsor,governance,C,proposed,,software.md / proposed matrix
baseline,R-1,Integrated baseline proposal,software.md / proposed matrix,Mina,Mina: PM,coordination,A/R,proposed,,software.md / proposed matrix
baseline,R-1,Integrated baseline proposal,software.md / proposed matrix,Omar,Omar: engineering,engineering,C,proposed,,software.md / proposed matrix
baseline,R-1,Integrated baseline proposal,software.md / proposed matrix,Priya,Priya: product,product,C,proposed,,software.md / proposed matrix
baseline,R-1,Integrated baseline proposal,software.md / proposed matrix,Lena,Lena: security,security,C,proposed,,software.md / proposed matrix
baseline,R-1,Integrated baseline proposal,software.md / proposed matrix,Theo,Theo: service,service,C,proposed,,software.md / proposed matrix
baseline,R-2,Baseline approval decision,software.md / proposed matrix,Ada,Ada: sponsor,governance,A,proposed,,software.md / proposed matrix
baseline,R-2,Baseline approval decision,software.md / proposed matrix,Mina,Mina: PM,coordination,R,proposed,prepare record,software.md / proposed matrix
baseline,R-2,Baseline approval decision,software.md / proposed matrix,Omar,Omar: engineering,engineering,C,proposed,,software.md / proposed matrix
baseline,R-2,Baseline approval decision,software.md / proposed matrix,Priya,Priya: product,product,C,proposed,,software.md / proposed matrix
baseline,R-2,Baseline approval decision,software.md / proposed matrix,Lena,Lena: security,security,C,proposed,,software.md / proposed matrix
baseline,R-2,Baseline approval decision,software.md / proposed matrix,Theo,Theo: service,service,C,proposed,,software.md / proposed matrix
delivery,R-3,SAML implementation and engineering evidence,software.md / proposed matrix,Ada,Ada: sponsor,governance,I,proposed,,software.md / proposed matrix
delivery,R-3,SAML implementation and engineering evidence,software.md / proposed matrix,Mina,Mina: PM,coordination,C,proposed,,software.md / proposed matrix
delivery,R-3,SAML implementation and engineering evidence,software.md / proposed matrix,Omar,Omar: engineering,engineering,A/R,proposed,,software.md / proposed matrix
delivery,R-3,SAML implementation and engineering evidence,software.md / proposed matrix,Priya,Priya: product,product,C,proposed,,software.md / proposed matrix
delivery,R-3,SAML implementation and engineering evidence,software.md / proposed matrix,Lena,Lena: security,security,C,proposed,,software.md / proposed matrix
delivery,R-3,SAML implementation and engineering evidence,software.md / proposed matrix,Theo,Theo: service,service,I,proposed,,software.md / proposed matrix
delivery,R-4,Backlog ordering,software.md / proposed matrix,Ada,Ada: sponsor,governance,I,proposed,,software.md / proposed matrix
delivery,R-4,Backlog ordering,software.md / proposed matrix,Mina,Mina: PM,coordination,C,proposed,,software.md / proposed matrix
delivery,R-4,Backlog ordering,software.md / proposed matrix,Omar,Omar: engineering,engineering,C,proposed,,software.md / proposed matrix
delivery,R-4,Backlog ordering,software.md / proposed matrix,Priya,Priya: product,product,A/R,proposed,,software.md / proposed matrix
delivery,R-4,Backlog ordering,software.md / proposed matrix,Lena,Lena: security,security,C,proposed,,software.md / proposed matrix
delivery,R-4,Backlog ordering,software.md / proposed matrix,Theo,Theo: service,service,C,proposed,,software.md / proposed matrix
acceptance,R-5,Security acceptance decision,software.md / proposed matrix,Ada,Ada: sponsor,governance,I,proposed,,software.md / proposed matrix
acceptance,R-5,Security acceptance decision,software.md / proposed matrix,Mina,Mina: PM,coordination,I,proposed,,software.md / proposed matrix
acceptance,R-5,Security acceptance decision,software.md / proposed matrix,Omar,Omar: engineering,engineering,R,proposed,supply evidence,software.md / proposed matrix
acceptance,R-5,Security acceptance decision,software.md / proposed matrix,Priya,Priya: product,product,C,proposed,,software.md / proposed matrix
acceptance,R-5,Security acceptance decision,software.md / proposed matrix,Lena,Lena: security,security,A/R,proposed,,software.md / proposed matrix
acceptance,R-5,Security acceptance decision,software.md / proposed matrix,Theo,Theo: service,service,C,proposed,,software.md / proposed matrix
acceptance,R-6,Service handover acceptance,software.md / proposed matrix,Ada,Ada: sponsor,governance,I,proposed,,software.md / proposed matrix
acceptance,R-6,Service handover acceptance,software.md / proposed matrix,Mina,Mina: PM,coordination,R,proposed,coordinate packet,software.md / proposed matrix
acceptance,R-6,Service handover acceptance,software.md / proposed matrix,Omar,Omar: engineering,engineering,C,proposed,,software.md / proposed matrix
